CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Westpark Place,Whitebridge,2.1,10.0
Business,Cary,Morrisville,2.5,8.0
Business,Morrisville,Cary,2.5,8.0
Business,Cary,Morrisville,2.8,12.0
Business,Morrisville,Raleigh,14.7,23.0
Business,Raleigh,Morrisville,14.6,26.0
Business,Morrisville,Cary,2.3,5.0
Business,Whitebridge,Westpark Place,2.2,2.0
Business,Westpark Place,Whitebridge,2.2,18.0
Business,Cary,Durham,14.0,25.0
Business,Durham,Cary,13.3,25.0
Business,Westpark Place,Whitebridge,1.8,7.0
Business,Whitebridge,Arlington Park at Amberly,6.2,17.0
Business,Arlington Park at Amberly,Lexington Park at Amberly,1.3,11.0
Business,Lexington Park at Amberly,Westpark Place,1.9,18.0
Business,Cary,Apex,6.9,22.0
Business,Apex,Cary,4.6,7.0
Business,Whitebridge,Edgehill Farms,2.8,7.0
Business,Cary,Morrisville,9.1,30.0
Business,Morrisville,Cary,8.1,32.0
Business,Cary,Morrisville,8.4,21.0
Business,Arlington,Washington,4.9,24.0
Business,Kalorama Triangle,K Street,1.0,8.0
Business,K Street,Kalorama Triangle,1.0,6.0
Business,West End,Northwest Rectangle,2.0,14.0
Business,K Street,Kalorama Triangle,1.1,4.0
Business,Kalorama Triangle,Downtown,1.5,4.0
Business,Connecticut Avenue,Kalorama Triangle,1.3,7.0
Business,Kalorama Triangle,Columbia Heights,1.8,4.0
Business,Columbia Heights,Kalorama Triangle,1.5,10.0
Business,Washington,Arlington,6.6,18.0
Business,Morrisville,Cary,8.0,22.0
Business,Whitebridge,Edgehill Farms,2.7,9.0
Business,Edgehill Farms,Whitebridge,2.7,15.0
Business,Cary,Morrisville,2.5,6.0
Business,Morrisville,Cary,2.5,8.0
Business,Whitebridge,Farmington Woods,5.2,14.0
Business,Farmington Woods,Edgehill Farms,4.0,13.0
Business,Edgehill Farms,Whitebridge,2.7,11.0
Business,Cary,Morrisville,4.8,25.0
Business,Morrisville,Cary,3.2,9.0
